"sample"	"PC1: 47% variance"	"PC2: 23% variance"
"ERX3179354"	-132.574497449893	-186.544261029521
"ERX3179351"	-68.4177634814694	-6.8564082133818
"ERX3179352"	-66.7850126940476	-6.15681687165639
"ERX3179356"	-66.660165011872	-15.8183658495304
"ERX3179353"	-65.6040175345728	-7.76734520737908
"ERX3179355"	-62.636972951623	-14.7141793202078
"ERX3179357"	-43.4803016645299	121.349128501287
"ERX3179358"	-42.4060925726889	119.207621539621
"ERX3179359"	-35.2092086171244	123.966662093021
"ERX3179364"	-9.78094288040307	-19.1915441479584
"ERX3179363"	-9.4560398289256	-18.7926273042713
"ERX3179365"	-6.15255797912812	-18.6664305189146
"ERX3179360"	178.339730851988	-27.4325585219609
"ERX3179362"	188.854687953554	-24.7582196731393
"ERX3179361"	241.969153860736	-17.8246554760081
