sample	ERX3179351	ERX3179352	ERX3179353	ERX3179354	ERX3179355	ERX3179356	ERX3179357	ERX3179358	ERX3179359	ERX3179360	ERX3179361	ERX3179362	ERX3179363	ERX3179364	ERX3179365
ERX3179351	0	34.9817727075337	46.7111607360711	268.825469403793	50.8142633665239	52.587036381209	175.917543076462	174.864141380894	181.667265163373	271.431476722456	330.320934600753	279.970084261214	141.696900575554	142.589096897329	142.909227861495
ERX3179352	34.9817727075337	0	47.0011719126588	268.667238368252	51.0238271430037	54.6090114177818	174.406319820857	173.229207513195	180.040415294084	269.561385849259	328.690324309739	278.262859548321	141.15429203955	141.857638992624	142.682099274057
ERX3179353	46.7111607360711	47.0011719126588	0	271.896699873777	54.5152080142846	56.8408172137285	179.306542005011	178.853274688525	184.051365057605	269.750292173563	329.139968287903	278.843527100341	141.807761328612	142.40927351898	142.906318067425
ERX3179354	268.825469403793	268.667238368252	271.896699873777	0	267.839582718299	268.237502363494	331.802516712243	330.08812258302	335.993610720808	385.02718603388	435.587753921343	391.170417224852	294.45556983835	293.927245034664	295.025209775606
ERX3179355	50.8142633665239	51.0238271430037	54.5152080142846	267.839582718299	0	47.1830384173848	182.641276453216	181.822679143722	187.964259145366	265.429903952748	326.709090430488	274.951588754309	135.23462907515	135.605065862656	136.07076295312
ERX3179356	52.587036381209	54.6090114177818	56.8408172137285	268.237502363494	47.1830384173848	0	185.597808214526	184.35458198233	191.045836592298	270.960047608886	330.053864723589	279.751587439149	133.416783077304	134.113073459461	134.649507154442
ERX3179357	175.917543076462	174.406319820857	179.306542005011	331.802516712243	182.641276453216	185.597808214526	0	43.3518211996633	50.2322324722495	286.65803337945	334.023590148363	292.278381458	199.458449825698	199.668676114318	199.17419564358
ERX3179358	174.864141380894	173.229207513195	178.853274688525	330.08812258302	181.822679143722	184.35458198233	43.3518211996633	0	51.0509349272642	285.479965748208	332.253827277529	290.128099706279	197.694345766354	197.892446288806	197.551757769482
ERX3179359	181.667265163373	180.040415294084	184.051365057605	335.993610720808	187.964259145366	191.045836592298	50.2322324722495	51.0509349272642	0	283.558524514711	328.665924221291	287.30418266739	202.664833146884	203.01199106061	202.04120398783
ERX3179360	271.431476722456	269.561385849259	269.750292173563	385.02718603388	265.429903952748	270.960047608886	286.65803337945	285.479965748208	283.558524514711	0	173.154137346581	132.455335421964	233.792491867845	234.133678084317	230.690299581711
ERX3179361	330.320934600753	328.690324309739	329.139968287903	435.587753921343	326.709090430488	330.053864723589	334.023590148363	332.253827277529	328.665924221291	173.154137346581	0	164.586039179634	297.996825364099	298.039305737833	294.78798270589
ERX3179362	279.970084261214	278.262859548321	278.843527100341	391.170417224852	274.951588754309	279.751587439149	292.278381458	290.128099706279	287.30418266739	132.455335421964	164.586039179634	0	243.920449716274	245.08632683316	241.000314096089
ERX3179363	141.696900575554	141.15429203955	141.807761328612	294.45556983835	135.23462907515	133.416783077304	199.458449825698	197.694345766354	202.664833146884	233.792491867845	297.996825364099	243.920449716274	0	42.1840704410873	39.8937121990439
ERX3179364	142.589096897329	141.857638992624	142.40927351898	293.927245034664	135.605065862656	134.113073459461	199.668676114318	197.892446288806	203.01199106061	234.133678084317	298.039305737833	245.08632683316	42.1840704410873	0	41.360080637674
ERX3179365	142.909227861495	142.682099274057	142.906318067425	295.025209775606	136.07076295312	134.649507154442	199.17419564358	197.551757769482	202.04120398783	230.690299581711	294.78798270589	241.000314096089	39.8937121990439	41.360080637674	0
