GCA_000143925.2	Caenorhabditis_brenneri
GCA_000147155.1	Caenorhabditis_japonica
GCA_000165025.1	Caenorhabditis_angaria
GCA_000172435.1	Meloidogyne_hapla
GCA_000180635.4	Pristionchus_pacificus
GCA_000181795.3	Trichinella_spiralis
GCA_000223415.1	Heterorhabditis_bacteriophora
GCA_000341325.1	Panagrellus_redivivus
GCA_000469685.2	Haemonchus_contortus
GCA_000499405.2	Onchocerca_volvulus
GCA_000505645.1	Steinernema_monticolum
GCA_000612645.2	Trichuris_muris
GCA_000613005.1	Trichuris_trichiura
GCA_000688135.1	Ancylostoma_ceylanicum
GCA_000757645.3	Steinernema_carpocapsae
GCA_000757745.1	Steinernema_scapterisci
GCA_000757755.1	Steinernema_glaseri
GCA_000797535.1	Trichuris_suis
GCA_000797555.1	Oesophagostomum_dentatum
GCA_000803305.1	Toxocara_canis
GCA_000816705.1	Dictyocaulus_viviparus
GCA_000816745.1	Ancylostoma_duodenale
GCA_000934875.1	Oscheius_sp._MCB
GCA_000941615.1	Parastrongyloides_trichosuri
GCA_000944355.1	Rhabditophanes_sp._KR3021
GCA_000947215.1	Strongyloides_stercoralis
GCA_000950515.2	Onchocerca_ochengi
GCA_000981365.1	Subanguina_moxae
GCA_001026735.1	Rotylenchulus_reniformis
GCA_001028725.1	Strongyloides_venezuelensis
GCA_001039655.1	Romanomermis_culicivorax
GCA_001447435.1	Trichinella_sp._T6
GCA_001447455.1	Trichinella_nelsoni
GCA_001447505.1	Trichinella_sp._T9
GCA_001447565.1	Trichinella_nativa
GCA_001447585.1	Trichinella_britovi
GCA_001447645.1	Trichinella_pseudospiralis
GCA_001447655.1	Trichinella_patagoniensis
GCA_001447665.1	Trichinella_zimbabwensis
GCA_001447745.1	Trichinella_sp._T8
GCA_001447755.1	Trichinella_papuae
GCA_001513535.1	Oscheius_sp._TEL-2014
GCA_001723225.1	Globodera_ellingtonae
GCA_002207785.1	Diploscapter_coronatus
GCA_002221485.1	Trichinella_murrelli
GCA_002249935.1	Onchocerca_flexuosa
GCA_002259215.1	Parascaris_univalens
GCA_002259235.2	Caenorhabditis_latens
GCA_002287525.1	Diploscapter_pachys
GCA_002352805.1	Teladorsagia_circumcincta
GCA_002742825.1	Caenorhabditis_nigoni
GCA_002796945.1	Plectus_sambesii
GCA_003012265.1	Setaria_equina
GCA_003052745.1	Caenorhabditis_inopinata
GCA_003336725.1	Ancylostoma_caninum
GCA_003640385.1	Setaria_digitata
GCA_003693605.1	Meloidogyne_floridensis
GCA_003693625.1	Meloidogyne_javanica
GCA_004026265.1	Rhabditida_sp._S2_005_001R2
GCA_004148225.2	Heterodera_glycines
GCA_004194705.1	Ditylenchus_dipsaci
GCA_004785735.1	Plectus_murrayi
GCA_005281725.1	Wuchereria_bancrofti
GCA_005656395.1	Strongyloides_papillosus
GCA_006503575.1	Baylisascaris_schroederi
GCA_007213375.1	Steinernema_feltiae
GCA_008729115.1	Dirofilaria_repens
GCA_009193035.1	Halicephalobus_mephisto
GCA_009724625.1	Deladenus_siricidicola
