gene_id	Preferred_name	Description	OG_id	celegans	TPM	copy_status	retention_status	somatic_copies_retained
file_1_file_1_g12	NA	NA	OG0008072	Y79H2A.1a.1	436.010986	multi	copy_in_retained	1
file_1_file_1_g3605	ACTB	Belongs to the actin family	OG0000028	M03F4.2a.1, T04C12.4.3, T04C12.5.1, T04C12.6.1, T25C8.2.1	266.662994	multi	copy_in_retained	5
file_1_file_1_g826	NA	NA	OG0031955	NA	79.35968	single	-	0
file_1_file_1_g827	NA	NA	OG0006666	Y55B1AR.2b.1	42.780586	multi	copy_in_retained	1
file_1_file_1_g14	MRE11A	Belongs to the MRE11 RAD32 family	OG0003033	ZC302.1.2	25.645155	multi	copy_in_retained	1
file_1_file_1_g13	AMDHD1	imidazolonepropionase activity	OG0003466	T12A2.1.1	22.166056	multi	copy_in_retained	1
file_1_file_1_g9188	-	Aldo/keto reductase family	OG0001657	F53F1.2.1, F53F1.3.1	8.483492	multi	copy_in_retained	2
file_1_file_1_g10846	NA	NA	OG0008317	NA	3.052576	multi	copy_in_retained	2
file_1_file_1_g9869	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.295379	multi	copy_in_retained	1
file_1_file_1_g7241	NA	NA	OG0016977	NA	2.25656	multi	copy_in_retained	1
file_1_file_1_g9871	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.15833	multi	copy_in_retained	1
file_1_file_1_g9872	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.125232	multi	copy_in_retained	1
file_1_file_1_g9870	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.080019	multi	copy_in_retained	1
file_1_file_1_g9203	NA	NA	OG0003429	NA	2.016797	multi	copy_in_retained	4
file_1_file_1_g7262	NA	NA	OG0008317	NA	1.957915	multi	copy_in_retained	2
file_1_file_1_g7269	NA	NA	OG0008317	NA	1.957915	multi	copy_in_retained	2
file_1_file_1_g9873	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	1.740296	multi	copy_in_retained	1
file_1_file_1_g10848	NA	NA	OG0010278	NA	0.853308	multi	eliminated_only	0
file_1_file_1_g9874	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	0.767259	multi	copy_in_retained	1
file_1_file_1_g10849	NA	NA	OG0010278	NA	0.764916	multi	eliminated_only	0
file_1_file_1_g8291	NA	NA	OG0006590	B0545.4.1, C10A4.1.1, C53D6.6.2, K09A11.1.1	0.761879	single	-	0
file_1_file_1_g10867	NA	NA	OG0031328	NA	0.522678	single	-	0
