chromosome	position	breakage_score	num_telomere_reads	average_coverage	orientation	telomere_sense	telomere_gap_avg	telomere_senses_dist	telomere_gaps_dist
SUPER_X	626408	0.0833	0	12.0	right	+	0.00	+*1	0*1
SUPER_X	5500724	0.0323	1	31.0	right	+	0.00	+*1	0*1
SUPER_X	5501292	0.8710	290	334.0	left	-	0.13	-*291	0*283 2*3 5*2 6*1 11*1 4*1
SUPER_X	5501294	0.0030	1	335.0	left	-	0.00	-*1	0*1
SUPER_X	5501295	0.0059	2	338.0	left	-	2.00	-*2	2*2
SUPER_X	5501296	0.0029	1	339.0	left	-	8.00	-*1	8*1
SUPER_X	5501297	0.0231	8	347.0	left	-	1.25	-*8	0*5 1*2 8*1
SUPER_X	5501298	0.0057	1	349.0	left	-	8.00	-*2	14*1 2*1
SUPER_X	5501301	0.0029	1	350.0	left	-	6.00	-*1	6*1
SUPER_X	5501305	0.0029	1	351.0	left	-	5.00	-*1	5*1
SUPER_X	5501307	0.0028	0	352.0	left	-	9.00	-*1	9*1
SUPER_X	10706780	0.0033	0	303.0	right	+	28.00	+*1	28*1
SUPER_X	10706789	0.0033	0	302.0	right	+	9.00	+*1	9*1
SUPER_X	10706794	0.0033	0	301.0	right	+	4.00	+*1	4*1
SUPER_X	10706796	0.0101	3	298.0	right	+	3.00	+*3	3*3
SUPER_X	10706797	0.0068	2	296.0	right	+	4.00	+*2	4*2
SUPER_X	10706799	0.0034	0	294.0	right	+	2.00	+*1	2*1
SUPER_X	10706800	0.0069	2	292.0	right	+	1.00	+*2	1*2
SUPER_X	10706802	0.0069	2	290.0	right	+	0.50	+*2	1*1 0*1
SUPER_X	10706803	0.0069	1	288.0	right	+	0.00	+*2	0*2
SUPER_X	10706805	5.3500	230	43.0	right	+	0.18	+*230	0*222 3*4 10*2 6*1 4*1
SUPER_X	10913774	0.0435	2	46.0	left	-	1.00	-*2	0*1 2*1
SUPER_X	10913775	0.0029	1	349.0	right	+	2.00	+*1	2*1
SUPER_X	10913775	0.8600	300	349.0	left	-	0.10	-*300	0*293 3*2 2*2 6*1 4*1 10*1
SUPER_X	10913780	0.0086	3	351.0	left	-	0.67	-*3	0*2 2*1
SUPER_X	10913781	0.0196	7	358.0	left	-	3.86	-*7	3*2 2*2 12*1 4*1 1*1
SUPER_X	10913783	0.0137	4	364.0	left	-	0.00	-*5	0*5
SUPER_X	10913784	0.0109	4	368.0	left	-	0.00	-*4	0*4
SUPER_X	10913787	0.0027	0	369.0	left	-	2.00	-*1	2*1
SUPER_X	10913794	0.0027	0	370.0	left	-	9.00	-*1	9*1
SUPER_X	14217197	0.0027	0	370.0	right	+	10.00	+*1	10*1
SUPER_X	14217202	0.0027	1	368.0	right	+	1.00	+*1	1*1
SUPER_X	14217204	0.0027	0	367.0	right	+	4.00	+*1	4*1
SUPER_X	14217205	0.0138	4	362.0	right	+	2.40	+*5	1*4 8*1
SUPER_X	14217207	0.0056	2	360.0	right	+	1.00	+*2	1*2
SUPER_X	14217209	0.0141	5	355.0	right	+	0.00	+*5	0*5
SUPER_X	14217210	0.0113	4	355.0	right	+	0.00	+*4	0*4
SUPER_X	14217210	0.0113	4	355.0	left	-	0.00	-*4	0*4
SUPER_X	14217211	0.0028	0	354.0	right	+	13.00	+*1	13*1
SUPER_X	14217212	5.0000	285	57.0	right	+	0.14	+*285	0*275 2*4 5*2 3*1 6*1 4*1 10*1
SUPER_X	14217213	0.0179	1	56.0	right	+	5.00	+*1	5*1
SUPER_X	14220707	0.0926	5	54.0	right	+	0.00	+*5	0*5
SUPER_X	14224200	0.0612	2	49.0	left	-	0.00	-*3	0*3
SUPER_X	14227695	0.0200	1	50.0	left	-	0.00	-*1	0*1
SUPER_X	14227697	0.1110	4	45.0	right	+	0.00	+*5	0*5
SUPER_X	14231190	0.0638	2	47.0	left	-	0.00	-*3	0*3
SUPER_X	14231192	0.0217	0	46.0	right	+	0.00	+*1	0*1
SUPER_X	14234687	0.1000	4	40.0	right	+	0.00	+*4	0*4
SUPER_X	26776401	0.0938	3	32.0	left	-	724.00	-*3	724*3
SUPER_X	26933943	0.0000	0	0.0	right	+	188.38	+*52	188*39 187*5 194*2 189*1 185*1 186*1 197*1 191*1 193*1
