gene_id	Preferred_name	Description	OG_id	celegans	TPM	te_contained	has_te_domains	is_legit_homolog	is_non_te_candidate
file_1_file_1_g12	NA	NA	OG0008072	Y79H2A.1a.1	436.010986	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3605	ACTB	Belongs to the actin family	OG0000028	M03F4.2a.1, T04C12.4.3, T04C12.5.1, T04C12.6.1, T25C8.2.1	266.662994	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g827	NA	NA	OG0006666	Y55B1AR.2b.1	42.780586	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g14	MRE11A	Belongs to the MRE11 RAD32 family	OG0003033	ZC302.1.2	25.645155	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g13	AMDHD1	imidazolonepropionase activity	OG0003466	T12A2.1.1	22.166056	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9188	-	Aldo/keto reductase family	OG0001657	F53F1.2.1, F53F1.3.1	8.483492	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9869	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.295379	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9871	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.15833	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9872	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.125232	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9870	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.080019	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9203	NA	NA	OG0003429	NA	2.016797	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9873	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	1.740296	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9874	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	0.767259	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g8291	NA	NA	OG0006590	B0545.4.1, C10A4.1.1, C53D6.6.2, K09A11.1.1	0.761879	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g1666	NA	NA	OG0003429	NA	0.281584	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3585	NA	NA	OG0000190	K02E2.6.3	0.213862	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g6327	NA	NA	OG0000356	Y20F4.8.1	0.119865	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7259	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7266	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9934	NA	NA	OG0001286	NA	0.033432	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3591	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3599	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2528	NA	NA	OG0001286	NA	0.008085	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10840	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.006533	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2	NA	NA	OG0003429	NA	0.004884	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g4	NA	NA	OG0003429	NA	0.004884	FALSE	FALSE	TRUE	TRUE
