assembly	chr	diminution_pos	telo_orient	precise_support	for_coord	feature	type
nxAuaRhod1.1	scaffold_183	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	scaffold_183	102188	R	0	yes	chr_end	distal
nxAuaRhod1.1	scaffold_34	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	scaffold_34	809764	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_1	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_1	5566291	L	334	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_1	10908636	R	342	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_1	13336192	L	395	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_1	18003669	R	282	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_1	24729150	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_2	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_2	4999359	L	312	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_2	9391866	R	318	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_2	13572373	L	408	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_2	19211278	R	332	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_2	24040024	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_3	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_3	6191731	L	326	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_3	11420882	R	385	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_3	13159903	L	360	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_3	18366891	R	382	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_3	23577664	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_4	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_4	5339173	L	272	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_4	10148041	R	347	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_4	11524806	L	341	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_4	17155167	R	357	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_4	23111030	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_5	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_5	3832738	L	352	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_5	9393106	R	359	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_5	10673160	L	372	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_5	16502174	R	217	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_5	21638500	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_6	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_6	4740948	L	264	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_6	8996570	R	308	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_6	11483127	L	344	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_6	16869256	R	332	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_6	21466504	R	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_X	1	L	0	yes	chr_end	distal
nxAuaRhod1.1	SUPER_X	5501292	L	299	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_X	10706804	R	245	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_X	10913775	L	303	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_X	14217211	R	297	yes	telomere_seq_split	internal
nxAuaRhod1.1	SUPER_X	26933942	R	0	yes	chr_end	distal
