Chrom	Chr_Name	Block	Block_Type	Block_Start	Block_End	Block_Size	Rank	Family_ID	TR_Name	Coverage	Coverage_Fraction
SUPER_1	Chr 1	1	eliminated	1	5566291	5566291	1	P351_F001	AT-1	4057216	0.7288903867943664
SUPER_1	Chr 1	1	eliminated	1	5566291	5566291	2	P176_F001	AT-2	1417537	0.2546645513143312
SUPER_1	Chr 1	1	eliminated	1	5566291	5566291	3	P319_F001	P319_F001	38905	0.0069893938351408506
SUPER_1	Chr 1	2	somatic	5566292	10908635	5342344	1	P530_F001	P530_F001	175999	0.03294415335291026
SUPER_1	Chr 1	2	somatic	5566292	10908635	5342344	2	P253_F001	P253_F001	110804	0.020740708572866143
SUPER_1	Chr 1	2	somatic	5566292	10908635	5342344	3	P264_F001	P264_F001	103072	0.019293403794289548
SUPER_1	Chr 1	3	eliminated	10908636	13336192	2427557	1	P348_F001	AC-I	673522	0.27744848009748074
SUPER_1	Chr 1	3	eliminated	10908636	13336192	2427557	2	P230_F002	P230_F002	243606	0.100350269839184
SUPER_1	Chr 1	3	eliminated	10908636	13336192	2427557	3	P2_F001	P2_F001	4307	0.001774211686893449
SUPER_1	Chr 1	4	somatic	13336193	18003668	4667476	1	P247_F001	P247_F001	90070	0.019297367570824144
SUPER_1	Chr 1	4	somatic	13336193	18003668	4667476	2	P171_F002	P171_F002	43695	0.009361590718409692
SUPER_1	Chr 1	4	somatic	13336193	18003668	4667476	3	P199_F005	P199_F005	6939	0.0014866707402459059
SUPER_1	Chr 1	5	eliminated	18003669	24729150	6725482	1	P351_F001	AT-1	4630055	0.6884346727862776
SUPER_1	Chr 1	5	eliminated	18003669	24729150	6725482	2	P176_F001	AT-2	2001641	0.2976204530768204
SUPER_1	Chr 1	5	eliminated	18003669	24729150	6725482	3	P91_F002	P91_F002	1082	1.6088066253095316e-4
SUPER_2	Chr 2	1	eliminated	1	4999359	4999359	1	P351_F001	AT-1	3569096	0.713910723354734
SUPER_2	Chr 2	1	eliminated	1	4999359	4999359	2	P294_F001	P294_F001	1088741	0.21777611889844278
SUPER_2	Chr 2	1	eliminated	1	4999359	4999359	3	P176_F001	AT-2	152237	0.03045130385715449
SUPER_2	Chr 2	2	somatic	4999360	9391865	4392506	1	P252_F002	P252_F002	306018	0.06966820307132193
SUPER_2	Chr 2	2	somatic	4999360	9391865	4392506	2	P199_F003	P199_F003	35576	0.008099249039158967
SUPER_2	Chr 2	2	somatic	4999360	9391865	4392506	3	P2_F002	P2_F002	11426	0.002601248581106093
SUPER_2	Chr 2	3	eliminated	9391866	13572373	4180508	1	P399_F001	AC-II	2167638	0.5185106690383082
SUPER_2	Chr 2	3	eliminated	9391866	13572373	4180508	2	P168_F003	P168_F003	450548	0.10777350503814369
SUPER_2	Chr 2	3	eliminated	9391866	13572373	4180508	3	P246_F002	P246_F002	180171	0.043097872315996044
SUPER_2	Chr 2	4	somatic	13572374	19211277	5638904	1	P244_F001	P244_F001	166608	0.02954616712751272
SUPER_2	Chr 2	4	somatic	13572374	19211277	5638904	2	P264_F002	P264_F002	135115	0.023961216576838335
SUPER_2	Chr 2	4	somatic	13572374	19211277	5638904	3	P234_F001	P234_F001	60038	0.010647104472784073
SUPER_2	Chr 2	5	eliminated	19211278	24040024	4828747	1	P351_F001	AT-1	2594819	0.5373690110498645
SUPER_2	Chr 2	5	eliminated	19211278	24040024	4828747	2	P176_F001	AT-2	2186215	0.45274995770124216
SUPER_2	Chr 2	5	eliminated	19211278	24040024	4828747	3	P182_F001	P182_F001	39662	0.008213725009821388
SUPER_3	Chr 3	1	eliminated	1	6191731	6191731	1	P351_F001	AT-1	3100989	0.5008274745785952
SUPER_3	Chr 3	1	eliminated	1	6191731	6191731	2	P176_F001	AT-2	2894828	0.4675312929453815
SUPER_3	Chr 3	1	eliminated	1	6191731	6191731	3	P184_F002	P184_F002	147419	0.023809012374730102
SUPER_3	Chr 3	2	somatic	6191732	11420881	5229150	1	P200_F008	P200_F008	93891	0.017955308224089958
SUPER_3	Chr 3	2	somatic	6191732	11420881	5229150	2	P200_F005	P200_F005	77517	0.01482401537534781
SUPER_3	Chr 3	2	somatic	6191732	11420881	5229150	3	P192_F002	P192_F002	73074	0.01397435529674995
SUPER_3	Chr 3	3	eliminated	11420882	13159903	1739022	1	P167_F002	AC-III	582572	0.33499978723673424
SUPER_3	Chr 3	3	eliminated	11420882	13159903	1739022	2	P176_F001	AT-2	279063	0.16047123038121427
SUPER_3	Chr 3	3	eliminated	11420882	13159903	1739022	3	P529_F002	P529_F002	153607	0.08832953234634179
SUPER_3	Chr 3	4	somatic	13159904	18366890	5206987	1	P162_F002	P162_F002	129996	0.024965685529846723
SUPER_3	Chr 3	4	somatic	13159904	18366890	5206987	2	P166_F002	P166_F002	110212	0.021166175371668875
SUPER_3	Chr 3	4	somatic	13159904	18366890	5206987	3	P490_F001	P490_F001	50214	0.009643580827069474
SUPER_3	Chr 3	5	eliminated	18366891	23577664	5210774	1	P351_F001	AT-1	3743528	0.718420718304037
SUPER_3	Chr 3	5	eliminated	18366891	23577664	5210774	2	P176_F001	AT-2	854857	0.16405566620237225
SUPER_3	Chr 3	5	eliminated	18366891	23577664	5210774	3	P377_F001	P377_F001	298399	0.05726577280073939
SUPER_4	Chr 4	1	eliminated	1	5339173	5339173	1	P351_F001	AT-1	4512640	0.8451945647762303
SUPER_4	Chr 4	1	eliminated	1	5339173	5339173	2	P176_F001	AT-2	616659	0.11549710039363774
SUPER_4	Chr 4	1	eliminated	1	5339173	5339173	3	P182_F001	P182_F001	93765	0.01756170852676997
SUPER_4	Chr 4	2	somatic	5339174	10148040	4808867	1	P404_F001	P404_F001	186212	0.038722634666336166
SUPER_4	Chr 4	2	somatic	5339174	10148040	4808867	2	P259_F002	P259_F002	137307	0.0285528795036336
SUPER_4	Chr 4	2	somatic	5339174	10148040	4808867	3	P194_F003	P194_F003	59022	0.01227357712326001
SUPER_4	Chr 4	3	eliminated	10148041	11524806	1376766	1	P332_F002	AC-IV	701317	0.5093944795266588
