gene_id	Preferred_name	Description	OG_id	celegans	TPM	is_legit_homolog	has_te_domains
file_1_file_1_g12	NA	NA	OG0008072	Y79H2A.1a.1	436.010986	TRUE	FALSE
file_1_file_1_g3605	ACTB	Belongs to the actin family	OG0000028	M03F4.2a.1, T04C12.4.3, T04C12.5.1, T04C12.6.1, T25C8.2.1	266.662994	TRUE	FALSE
file_1_file_1_g827	NA	NA	OG0006666	Y55B1AR.2b.1	42.780586	TRUE	FALSE
file_1_file_1_g14	MRE11A	Belongs to the MRE11 RAD32 family	OG0003033	ZC302.1.2	25.645155	TRUE	FALSE
file_1_file_1_g13	AMDHD1	imidazolonepropionase activity	OG0003466	T12A2.1.1	22.166056	TRUE	FALSE
file_1_file_1_g9188	-	Aldo/keto reductase family	OG0001657	F53F1.2.1, F53F1.3.1	8.483492	TRUE	FALSE
file_1_file_1_g9869	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.295379	TRUE	FALSE
file_1_file_1_g9871	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.15833	TRUE	FALSE
file_1_file_1_g9872	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.125232	TRUE	FALSE
file_1_file_1_g9870	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.080019	TRUE	FALSE
file_1_file_1_g9203	NA	NA	OG0003429	NA	2.016797	TRUE	FALSE
file_1_file_1_g9873	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	1.740296	TRUE	FALSE
file_1_file_1_g9874	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	0.767259	TRUE	FALSE
file_1_file_1_g8291	NA	NA	OG0006590	B0545.4.1, C10A4.1.1, C53D6.6.2, K09A11.1.1	0.761879	TRUE	FALSE
file_1_file_1_g1666	NA	NA	OG0003429	NA	0.281584	TRUE	FALSE
file_1_file_1_g10864	SETMAR	SET domain and mariner transposase fusion gene	OG0000282	F49E2.5l.2	0.22332	TRUE	TRUE
file_1_file_1_g9923	SETMAR	SET domain and mariner transposase fusion gene	OG0000282	F49E2.5l.2	0.22332	TRUE	TRUE
file_1_file_1_g3585	NA	NA	OG0000190	K02E2.6.3	0.213862	TRUE	FALSE
file_1_file_1_g6327	NA	NA	OG0000356	Y20F4.8.1	0.119865	TRUE	FALSE
file_1_file_1_g3584	-	K02A2.6-like	OG0000190	K02E2.6.3	0.097699	TRUE	TRUE
file_1_file_1_g9933	-	Integrase core domain	OG0001286	NA	0.048678	TRUE	TRUE
file_1_file_1_g7259	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	TRUE	FALSE
file_1_file_1_g7266	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	TRUE	FALSE
file_1_file_1_g9934	NA	NA	OG0001286	NA	0.033432	TRUE	FALSE
file_1_file_1_g2533	NA	NA	OG0000356	Y20F4.8.1	0.015877	TRUE	TRUE
file_1_file_1_g3591	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	TRUE	FALSE
file_1_file_1_g3599	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	TRUE	FALSE
file_1_file_1_g2528	NA	NA	OG0001286	NA	0.008085	TRUE	FALSE
file_1_file_1_g10840	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.006533	TRUE	FALSE
file_1_file_1_g2	NA	NA	OG0003429	NA	0.004884	TRUE	FALSE
file_1_file_1_g4	NA	NA	OG0003429	NA	0.004884	TRUE	FALSE
file_1_file_1_g6	NA	NA	OG0003429	NA	0.004884	TRUE	FALSE
file_1_file_1_g9922	NA	NA	OG0003429	NA	0.004884	TRUE	FALSE
file_1_file_1_g3592	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	TRUE	FALSE
file_1_file_1_g3595	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	TRUE	FALSE
file_1_file_1_g2530	-	-	OG0001006	F23C8.3b.1	0.003849	TRUE	FALSE
file_1_file_1_g2527	-	Chromatin organization modifier domain	OG0001286	NA	0.003846	TRUE	TRUE
file_1_file_1_g9927	NA	NA	OG0000356	Y20F4.8.1	0.002484	TRUE	TRUE
file_1_file_1_g9877	NA	NA	OG0000356	Y20F4.8.1	0.001484	TRUE	TRUE
file_1_file_1_g9938	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.001228	TRUE	FALSE
file_1_file_1_g10842	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	TRUE	FALSE
file_1_file_1_g10850	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0	TRUE	TRUE
file_1_file_1_g11929	-	transposition	OG0002782	NA	0	TRUE	TRUE
file_1_file_1_g11930	NA	NA	OG0002782	NA	0	TRUE	TRUE
file_1_file_1_g11931	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE
file_1_file_1_g2523	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	TRUE	FALSE
file_1_file_1_g2526	-	Chromatin organization modifier domain	OG0001286	NA	0	TRUE	TRUE
file_1_file_1_g2529	-	response to salt stress	OG0001947	K09F6.9.1, Y57G11C.20.1	0	TRUE	FALSE
file_1_file_1_g3589	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	TRUE	FALSE
file_1_file_1_g3601	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	TRUE	FALSE
file_1_file_1_g3602	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	TRUE	FALSE
file_1_file_1_g4367	NA	NA	OG0005394	T26G10.4.1	0	TRUE	FALSE
file_1_file_1_g5281	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE
