gene_id	Preferred_name	Description	OG_id	celegans	TPM	te_contained	has_te_domains	is_legit_homolog	is_non_te_candidate
file_1_file_1_g12	NA	NA	OG0008072	Y79H2A.1a.1	436.010986	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3605	ACTB	Belongs to the actin family	OG0000028	M03F4.2a.1, T04C12.4.3, T04C12.5.1, T04C12.6.1, T25C8.2.1	266.662994	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g826	NA	NA	OG0031955	NA	79.35968	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g827	NA	NA	OG0006666	Y55B1AR.2b.1	42.780586	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g14	MRE11A	Belongs to the MRE11 RAD32 family	OG0003033	ZC302.1.2	25.645155	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g13	AMDHD1	imidazolonepropionase activity	OG0003466	T12A2.1.1	22.166056	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9188	-	Aldo/keto reductase family	OG0001657	F53F1.2.1, F53F1.3.1	8.483492	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10846	NA	NA	OG0008317	NA	3.052576	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9869	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.295379	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7241	NA	NA	OG0016977	NA	2.25656	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9871	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.15833	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9872	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.125232	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9870	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	2.080019	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9203	NA	NA	OG0003429	NA	2.016797	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7262	NA	NA	OG0008317	NA	1.957915	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g7269	NA	NA	OG0008317	NA	1.957915	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9873	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	1.740296	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10848	NA	NA	OG0010278	NA	0.853308	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9874	GIT2	Spa2 homology domain (SHD) of GIT	OG0000817	F14F3.2.1, T25C12.3.1	0.767259	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10849	NA	NA	OG0010278	NA	0.764916	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g8291	NA	NA	OG0006590	B0545.4.1, C10A4.1.1, C53D6.6.2, K09A11.1.1	0.761879	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10867	NA	NA	OG0031328	NA	0.522678	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g3594	-	Histone H4	OG0010247	NA	0.396793	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9918	NA	NA	OG0005446	NA	0.388054	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g6337	NA	NA	OG0008317	NA	0.364131	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9894	NA	NA	OG0016943	NA	0.329531	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g1667	NA	NA	OG0016967	NA	0.319167	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9906	NA	NA	OG0031080	NA	0.313937	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9880	NA	NA	OG0001960	NA	0.313103	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g9898	NA	NA	OG0031078	NA	0.285648	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g1666	NA	NA	OG0003429	NA	0.281584	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g11939	NA	NA	OG0009513	NA	0.274321	FALSE	FALSE	FALSE	TRUE
file_1_file_1_g1	NA	NA	OG0009513	NA	0.232752	FALSE	FALSE	FALSE	TRUE
