Rank	Family_ID	Period	Sub_family	N_members	N_chromosomes	Chromosomes	Total_span_bp	Total_span_Mb	Avg_copies	Avg_identity
1	P351_F001	351	1	653	6	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6	43037002	43.04	172.5	96.6
2	P176_F001	176	1	415	40	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_105,scaffold_107,scaffold_113,scaffold_115,scaffold_122,scaffold_144,scaffold_176,scaffold_183,scaffold_218,scaffold_220,scaffold_23,scaffold_258,scaffold_27,scaffold_28,scaffold_290,scaffold_30,scaffold_32,scaffold_328,scaffold_34,scaffold_358,scaffold_38,scaffold_401,scaffold_41,scaffold_47,scaffold_48,scaffold_50,scaffold_53,scaffold_534,scaffold_54,scaffold_60,scaffold_65,scaffold_71,scaffold_89	28544866	28.54	294.8	96.2
3	P342_F001	342	1	204	1	SUPER_X	10732771	10.73	120.7	97.2
4	P347_F001	347	1	57	1	SUPER_X	3923551	3.92	168.6	93.4
5	P399_F001	399	1	357	1	SUPER_2	2167638	2.17	11.7	96.1
6	P348_F003	348	3	27	1	SUPER_X	1775093	1.78	172.9	95.7
7	P412_F002	412	2	482	1	SUPER_6	1132453	1.13	5.0	95.1
8	P294_F001	294	1	39	1	SUPER_2	1088741	1.09	4.0	96.1
9	P176_F003	176	3	13	1	SUPER_X	785878	0.79	294.1	94.6
10	P167_F002	167	2	80	8	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_34	709135	0.71	25.3	87.7
11	P332_F002	332	2	32	1	SUPER_4	701317	0.70	64.5	94.2
12	P439_F001	439	1	27	1	SUPER_X	696753	0.70	45.9	93.6
13	P231_F004	231	4	596	1	SUPER_5	681338	0.68	3.9	89.5
14	P348_F001	348	1	13	1	SUPER_1	673522	0.67	160.1	88.2
15	P291_F001	291	1	8	1	SUPER_X	665453	0.67	211.3	95.4
